,,Males,Females,Persons,,Median age,,People aged 0 to 14 years,People aged 15 to 64 years,People aged 65 years and over
26430,Strathbogie ,5499,5493,10992,,51.9,,15.2,55.5,29.3
26490,Surf Coast ,17359,17412,34771,,41.8,,20.4,61.2,18.4
26610,Swan Hill ,10448,10086,20534,,40.3,,19.5,60.6,19.9
26670,Towong ,3217,2885,6102,,51.2,,16.3,56,27.7
26700,Wangaratta ,14229,14968,29197,,45.3,,18.1,58.6,23.3
26730,Warrnambool ,17386,18147,35533,,40.1,,17.9,62.7,19.4
26810,Wellington ,23038,21732,44770,,43.8,,17.7,61,21.3
26890,West Wimmera,1950,1860,3810,,49.4,,17.4,57,25.6
26980,Whitehorse,88651,92084,180735,,37.3,,16.1,66.9,16.9
27070,Whittlesea ,117923,118616,236539,,34.8,,21.4,66.6,12.1
27170,Wodonga ,20954,21708,42662,,36,,21.1,63.2,15.8
27260,Wyndham ,142957,140337,283294,,33,,25.7,66.3,8
27350,Yarra ,51055,52070,103125,,34.1,,10.7,77.9,11.3
27450,Yarra Ranges ,79388,80567,159955,,39.6,,18.9,64.5,16.6
27630,Yarriambiack,3421,3167,6588,,51.2,,16.8,55.7,27.6
